School_Name,Address,City,State,Zip,Phone,Latitude,Longitude,Website,Religious_Affiliation,School_Type,District_Name
Robert D Sloman Primary,PO Box 270,Douglas,AL,35964,(256)593-4912,,,http://www.marshallk12.org,,Public,Marshall County
Brindlee Mountain High School,994 Scant City Rd,Guntersville,AL,35976,(256)753-2800,,,http://www.marshallk12.org,,Public,Marshall County
Kate D Smith DAR Elementary School,6077 Main St,Grant,AL,35747,(256)728-2226,,,http://darelementary.marshallk12.org/,,Public,Marshall County
Douglas Middle School,PO Box 269,Douglas,AL,35964,(256)593-1240,,,http://www.marshallk12.org,,Public,Marshall County
Asbury Elementary School,1966 Asbury Rd,Albertville,AL,35951,(256)878-6221,,,http://www.marshallk12.org,,Public,Marshall County
Trace Crossings Elementary School,5454 Learning Lane,Hoover,AL,35244,(205)439-2700,,,http://www.hoovercityschools.net/tracecrossings,,Public,Hoover City
Greystone Elementary School,300 Village Street,Hoover,AL,35242,(205)439-3200,,,http://www.hoovercityschools.net/greystone,,Public,Hoover City
Hoover High School,1000 Buccaneer Drive,Hoover,AL,35244,(205)439-1200,,,http://www.hoovercityschools.net/hhs,,Public,Hoover City
Berry Middle School,4500 Jaguar Dr,Hoover,AL,35242,(205)439-2000,,,http://www.hoovercityschools.net/berry,,Public,Hoover City
South Shades Crest Elementary School,3770 South Shades Crest Rd,Hoover,AL,35244,(205)439-3000,,,http://www.hoovercityschools.net/southshadescrest,,Public,Hoover City
Robert F Bumpus Middle School,6055 Flemming Parkway,Hoover,AL,35244,(205)439-2200,,,http://www.hoovercityschools.net/bumpus,,Public,Hoover City
Spain Park High School,4700 Jaguar Drive,Hoover,AL,35242,(205)439-1400,,,http://www.hoovercityschools.net/sphs,,Public,Hoover City
Deer Valley Elementary School,4990 Ross Bridge Parkway,Hoover,AL,35226,(205)439-3300,,,http://www.hoovercityschools.net/deervalley,,Public,Hoover City
Bluff Park Elementary School,569 Park Avenue,Hoover,AL,35226,(205)439-2800,,,http://www.hoovercityschools.net/bluffpark,,Public,Hoover City
Green Valley Elementary School,3200 Old Columbiana Rd,Hoover,AL,35226,(205)439-2500,,,http://www.hoovercityschools.net/greenvalley,,Public,Hoover City
Gwin Elementary School,1580 Patton Chapel Road,Hoover,AL,35226,(205)439-2600,,,http://www.hoovercityschools.net/gwin,,Public,Hoover City
Ira F Simmons Middle School,1575 Patton Chapel Road,Hoover,AL,35226,(205)439-2100,,,http://www.hoovercityschools.net/simmons,,Public,Hoover City
Rocky Ridge Elementary School,2876 Old Rocky Ridge Rd,Hoover,AL,35243,(205)439-2900,,,http://www.hoovercityschools.net/rockyridge,,Public,Hoover City
Shades Mountain Elementary School,2250 Sumpter St,Hoover,AL,35226,(205)439-3100,,,http://www.hoovercityschools.net/shadesmountain,,Public,Hoover City
Riverchase Elementary School,1950 Old Montgomery Highway,Hoover,AL,35244,(205)439-3400,,,http://www.hoovercityschools.net,,Public,Hoover City
Brocks Gap Intermediate School,1730 Lake Cyrus Club Drive,Hoover,AL,35244,(205)439-1600,,,http://www.hoovercityschools.net/brocksgap,,Public,Hoover City
Crossroads School,1085 Buccaneer Drive,Hoover,AL,35244,(205)439-1800,,,http://www.hoovercityschools.net,,Public,Hoover City
Riverchase Career Connection Center,853 Willow Oak Drive,Hoover,AL,35244,(205)439-1900,,,http://www.hoovercityschools.net,,Public,Hoover City
Horizon Elementary School,7855 Old Madison Pike,Madison,AL,35758,(256)464-3614,,,http://hrzn.madisoncity.k12.al.us,,Public,Madison City
Discovery Middle School,1304 Hughes Rd,Madison,AL,35758,(256)837-3735,,,http://dms.madisoncity.k12.al.us,,Public,Madison City
Bob Jones High School,650 Hughes Rd,Madison,AL,35758,(256)772-2547,,,http://bjhs.madisoncity.k12.al.us,,Public,Madison City
Madison Elementary School,17 College St,Madison,AL,35758,(256)772-9255,,,http://mes.madisoncity.k12.al.us,,Public,Madison City
MidTown Elementary School,140 Coefer Boulevard,Madison,AL,35758,(256)837-1189,,,http://wmes.madisoncity.k12.al.us,,Public,Madison City
Heritage Elementary School,11775 County Line Rd,Madison,AL,35758,(256)772-2075,,,http://hrtg.madisoncity.k12.al.us,,Public,Madison City
Rainbow Elementary School,50 Nance Rd,Madison,AL,35758,(256)824-8106,,,http://res.madisoncity.k12.al.us,,Public,Madison City
Liberty Middle School,281 Dock Murphy Dr,Madison,AL,35758,(256)430-0001,,,http://lms.madisoncity.k12.al.us,,Public,Madison City
Columbia Elementary School,667 Balch Road,Madison,AL,35758,(256)430-2751,,,http://ces.madisoncity.k12.al.us,,Public,Madison City
Mill Creek Elementary School,847 Mill Road,Madison,AL,35758,(256)774-4690,,,http://mces@madisoncity.k12.al.us,,Public,Madison City
James Clemens High School,11306 County Line Road,Madison,AL,35756,(256)216-5313,,,http://www.jchs.madisoncity.k12.al.us,,Public,Madison City
Madison City School PreK Center,4976 Wall Triana Highway,Madison,AL,35758,(256)464-8370,,,http://www.nonesupplied.com,,Public,Madison City
Journey Middle School,217 Celtic Drive,Madison,AL,35758,(256)464-8370,,,,,Public,Madison City
Alabama School For Deaf,PO Box 698,Talladega,AL,35160,(256)761-3214,,,,,Public,Al Inst Deaf And Blind
Alabama School For Blind,PO Box 455,Talladega,AL,35160,(256)761-3259,,,,,Public,Al Inst Deaf And Blind
Helen Keller School,PO Box 698,Talladega,AL,35161,(256)761-3250,,,,,Public,Al Inst Deaf And Blind
E H Gentry Technical Facility,PO Box 698,Talladega,AL,35160,(256)761-3402,,,,,Public,Al Inst Deaf And Blind
Child Count Only,1001 Monroe St,Huntsville,AL,35801,(256)761-3200,,,,,Public,Al Inst Deaf And Blind
Leeds Elementary School,950 Ashville Road,Leeds,AL,35094,(205)699-4500,,,http://www.leedsk12.org,,Public,Leeds City
Leeds Middle School,1771 Whitmire St,Leeds,AL,35094,(205)699-4505,,,http://www.leedsmiddle.org,,Public,Leeds City
Leeds High School,1500 Greenwave Drive,Leeds,AL,35094,(205)699-4510,,,http://www.leedsk12.org,,Public,Leeds City
Leeds Primary School,991 Park Drive,Leeds,AL,35094,(205)702-4206,,,http://www.leedsprimary.org,,Public,Leeds City
Boaz Middle School,140 Newt Parker Dr,Boaz,AL,35957,(256)593-0799,,,http://www.boazk12.org/bms,,Public,Boaz City
Boaz High School,907 Brown St,Boaz,AL,35957,(256)593-2401,,,http://www.boazk12.org/bhs,,Public,Boaz City
Corley Elementary School,505 Mount Vernon Rd,Boaz,AL,35957,(256)593-3254,,,http://www.boazk12.org/ces,,Public,Boaz City
Boaz Intermediate School,11 Newt Parker Dr,Boaz,AL,35957,(256)593-9211,,,http://www.boazk12.org/bis,,Public,Boaz City
Boaz Elementary School,362 Collier St,Boaz,AL,35957,(256)593-3481,,,http://www.boazk12.org/bes,,Public,Boaz City
HewittTrussville Middle School,5275 Trussville Clay Rd,Trussville,AL,35173,(205)228-3700,,,http://trussvillecityschools.com/htms,,Public,Trussville City
Paine Elementary School,7600 Gadsden Hwy,Trussville,AL,35173,(205)228-3200,,,http://www.trussvillecityschools.com/Domain/9,,Public,Trussville City
HewittTrussville High School,6450 Husky Pkwy,Trussville,AL,35173,(205)228-4000,,,http://trussvillecityschools.com/hths,,Public,Trussville City
Magnolia Elementary School,5400 Hidden Way Lane,Trussville,AL,35173,(205)228-3500,,,http://www.magnoliaelementaryschool.com,,Public,Trussville City
Cahaba Elementary School,301 Parkway Drive,Trussville,AL,35173,(205)228-3400,,,http://www.cahabaelementaryschool.com,,Public,Trussville City
Alexander City Middle School,359 State St,Alexander City,AL,35010,(256)234-8660,,,http://www.alexcityschools.net,,Public,Alexander City
Benjamin Russell High School,225 Heard Blvd,Alexander City,AL,35010,(256)234-8611,,,http://www.alexcityschools.net,,Public,Alexander City
Jim Pearson Elementary School,1240 Scott Rd,Alexander City,AL,35010,(256)234-8625,,,http://www.alexcityschools.net,,Public,Alexander City
Nathaniel H Stephens Elementary School,851 Laurel St,Alexander City,AL,35010,(256)234-8631,,,http://www.alexcityschools.net,,Public,Alexander City
William L Radney Elementary School,140 Allison Drive,Alexander City,AL,35010,(256)234-8636,,,http://www.alexcityschools.net,,Public,Alexander City
Andalusia High School,701 3rd St,Andalusia,AL,36420,(334)222-7569,,,http://www.andalusia.k12.al.us/AHS/,,Public,Andalusia City
Andalusia Junior High,408 4th Avenue,Andalusia,AL,36420,(334)222-7569,,,http://www.andalusia.k12.al.us/AMS/,,Public,Andalusia City
Andalusia Elementary School,1501 W Bypass,Andalusia,AL,36474,(334)222-1224,,,http://www.andalusia.k12.al.us/AES/,,Public,Andalusia City
Anniston High School,1301 Woodstock Ave,Anniston,AL,36207,(256)231-5010,,,http://www.annistonschools.com,,Public,Anniston City
Golden Springs Elementary School,100 Feary Dr,Anniston,AL,36207,(256)231-5050,,,http://www.annistonschools.com,,Public,Anniston City
Randolph Park Elementary School,2200 W 17th St,Anniston,AL,36201,(256)231-5080,,,http://www.annistonschools.com,,Public,Anniston City
Anniston City Boot Camp School,4804 McClellan Blvd,Anniston,AL,36206,(256)231-5100,,,http://www.annistonschools.com,,Public,Anniston City
Anniston Middle School,4800 McClellan Blvd,Anniston,AL,36206,(256)231-5020,,,http://www.annistonschools.com,,Public,Anniston City
Cobb Preparatory Academy,1325 Cobb Ave,Anniston,AL,36201,(256)231-5030,,,http://www.annistonschools.com,,Public,Anniston City
Arab Elementary School,241 8th Ave NE,Arab,AL,35016,(256)586-6085,,,http://www.arabcityschools.org,,Public,Arab City
Arab Primary School,121 Mimosa St NE,Arab,AL,35016,(256)586-6005,,,http://www.aps.arabcityschools.org,,Public,Arab City
Arab Junior High School,911 Old Cullman Rd SW,Arab,AL,35016,(256)586-6074,,,http://www.arabcityschools.org,,Public,Arab City
Arab High School,511 Arabian Dr NE,Arab,AL,35016,(256)586-6026,,,http://www.arabcityschools.org/,,Public,Arab City
Athens Intermediate School,1916 Us Hwy 72 W,Athens,AL,35611,(256)230-2880,,,http://www.acs-k12.org/Domain/12,,Public,Athens City
Athens Elementary School,515 N Madison St,Athens,AL,35611,(256)233-6609,,,http://www.acs-k12.org/aes,,Public,Athens City
Athens High School,PO Box 109,Athens,AL,35611,(256)233-6613,,,http://www.acs-k12.org/ahs,,Public,Athens City
Athens Middle School,100 Hwy 31 North,Athens,AL,35611,(256)233-6620,,,http://www.acs-k12.org/Domain/13,,Public,Athens City
James L Cowart Elementary School,1701 W Hobbs St,Athens,AL,35611,(256)233-6627,,,http://www.acs-k12.org/CES,,Public,Athens City
Julian Newman Elementary School,601 S Clinton Street,Athens,AL,35611,(256)233-6630,,,http://517 Julian Newman Drive,,Public,Athens City
Brookhill Elementary School,320 Brookhill Dr,Athens,AL,35611,(256)233-6603,,,http://www.brookhillelementary.org,,Public,Athens City
Athens Renaissance School,405 South Street East,Athens,AL,35611,(256)614-3708,,,http://www.acs-k12.org/ars,,Public,Athens City
Childersburg Boot Camp,PO Box 368,Childersburg,AL,35044,(256)378-3821,,,,,Public,JF Ingram State Technical College
Draper Correctional Facility,2828 Al Highway 143,Elmore,AL,36025,(334)567-2221,,,,,Public,JF Ingram State Technical College
Tutwiler Prison,8966 US Highway 231,Wetumpka,AL,36092,(334)353-3870,,,,,Public,JF Ingram State Technical College
W E Donaldson,100 Warrior Ln,Bessemer,AL,35023,(205)436-3681,,,,,Public,JF Ingram State Technical College
JF Ingram State Technical College Special Services,PO Box 220350,Deatsville,AL,36022,(334)514-6147,,,,,Public,JF Ingram State Technical College
Kilby Correctional Facility,12201 Edna Brake Lucas Dr,Montgomery,AL,36117,(334)215-6600,,,,,Public,JF Ingram State Technical College
Staton Correctional Facility,PO Box 56,Elmore,AL,36025,(334)567-2221,,,,,Public,JF Ingram State Technical College
Frank Lee Youth Center,PO Box 208,Deatsville,AL,36022,(334)290-3200,,,,,Public,JF Ingram State Technical College
Etowah High School,201 Case Avenue SE,Attalla,AL,35954,(256)538-8381,,,http://www.attalla.k12.al.us,,Public,Attalla City
Etowah Middle School,316 Jones Street,Attalla,AL,35954,(256)538-3236,,,http://www.attalla.k12.al.us,,Public,Attalla City
Attalla Elementary School,300 Cullman Avenue,Attalla,AL,35954,(256)538-7266,,,http://www.attalla.k12.al.us,,Public,Attalla City
Saraland Middle SchoolAdams Campus,401 Baldwin Road,Saraland,AL,36571,(251)679-9405,,,http://www.smspartans.com,,Public,Saraland City
Saraland Elementary School,229 McKeough Ave,Saraland,AL,36571,(251)679-5739,,,http://www.sespartans.com/,,Public,Saraland City
Saraland High School,1115 Industrial Pkwy,Saraland,AL,36571,(251)602-8970,,,http://www.shspartans.com,,Public,Saraland City
Saraland Early Education Center,4000 Lil Spartan Drive,Saraland,AL,36571,(251)602-8930,,,http://www.seecspartans.com,,Public,Saraland City
Chickasaw City Elementary School,80 Grant Street,Chickasaw,AL,36611,(251)452-6452,,,http://www.chickasawschools.com,,Public,Chickasaw City
Chickasaw City High School,50 Chieftain Way,Chickasaw,AL,36611,(251)380-8120,,,http://www.chickasawschools.com,,Public,Chickasaw City
Chickasaw Middle School,50 Chieftain Way,Chickasaw,AL,36611,(251)452-2256,,,http://www.chickasawschools.com,,Public,Chickasaw City
Alabama Destinations Career Academy,50 Chieftain Way,Chickasaw,AL,36611,(251)452-6452,,,http://www.chickasawschools.com,,Public,Chickasaw City
Satsuma High School,1 Gator Circle,Satsuma,AL,36572,(251)380-8190,,,http://satsumahigh.al.sch.schoolinsites.com/,,Public,Satsuma City
Robert E Lee Elementary,251 Baker Rd,Satsuma,AL,36572,(251)380-8210,,,http://leeelementary.al.sce.schoolinsites.com/,,Public,Satsuma City
Thompson Intermediate School,1509 Kent Dairy Rd,Alabaster,AL,35007,(205)685-6200,,,http://acsboe.org/TIS,,Public,Alabaster City
Thompson High School,1921 Warrior Parkway,Alabaster,AL,35007,(205)685-6700,,,http://acsboe.org/THS,,Public,Alabaster City
Thompson Middle School,100 Warrior Drive,Alabaster,AL,35007,(205)685-8100,,,http://acsboe.org/TMS,,Public,Alabaster City
Meadow View  Elementary School,2800 Smokey Rd,Alabaster,AL,35007,(205)685-4300,,,http://acsboe.org/MVES,,Public,Alabaster City
Creek View Elementary School,8568 Highway 17,Maylene,AL,35114,(205)685-6100,,,http://acsboe.org/CVES,,Public,Alabaster City
Pelham Oaks,2200 Highway 33,Pelham,AL,35124,(205)624-3703,,,http://www.nonesupplied.com,,Public,Pelham City
Pelham Ridge,251 Applegate Parkway,Pelham,AL,35124,(205)624-3704,,,http://www.nonesupplied.com,,Public,Pelham City
Pelham Park Middle School,2016 Pelham Park Boulevard,Pelham,AL,35124,(205)624-3702,,,http://www.nonesupplied.com,,Public,Pelham City
Pelham High School,2500 Panther Cir,Pelham,AL,35124,(205)624-3701,,,http://www.nonesupplied.com,,Public,Pelham City
Pike Road Elementary School,500 Avenue of Learning,Pike Road,AL,36064,(334)420-5310,,,http://pres.school,,Public,Pike Road City
Pike Road Intermediate School,4710 Pike Road,Pike Road,AL,36064,(334)420-5360,,,http://pris.school,,Public,Pike Road City
Pike Road High School,696 Georgia Washington Rd,Pike Road,AL,36064,(334)420-5380,,,http://prhs.school,,Public,Pike Road City
Pike Road Jr High School,696 Georgia Washington Road,Pike Road,AL,36064,(334)420-5340,,,http://prjhs.school,,Public,Pike Road City
Acceleration Day and Evening Academy,3725 AIRPORT BLVD,MOBILE,AL,36608,(251)301-0050,,,http://www.accelacademymobile.com,,Public,MAEF Public Charter Schools
Acceleration Preparatory Academy,3725 AIRPORT BLVD,MOBILE,AL,36608,(251)301-0050,,,http://www.accelacademymobile.com,,Public,MAEF Public Charter Schools
University Charter School  Elementary,108 North Street,Livingston,AL,35470,(205)652-3848,,,http://www.universitycharterschool.org,,Public,University Charter School
University Charter School  Secondary,134 University Drive,Livingston,AL,35470,(205)754-3440,,,http://www.universitycharterschool.org,,Public,University Charter School
Legacy Prep,1500 Daniel Payne Drive,Birmingham,AL,35214,(205)573-0777,,,http://www.legacyprepal.org,,Public,Legacy Prep
Gulf Shores Elementary School,1600 E 3rd St,Gulf Shores,AL,36542,(251)968-7375,,,http://www.nonesupplied.com,,Public,Gulf Shores City
Gulf Shores Middle School,450 E 15th Ave,Gulf Shores,AL,36542,(251)968-8719,,,http://www.nonesupplied.com,,Public,Gulf Shores City
Gulf Shores High School,PO Box 3729,Gulf Shores,AL,36547,(251)968-4747,,,http://www.nonesupplied.com,,Public,Gulf Shores City
LEAD Academy Building A,2897 Eastern Blvd,Montgomery,AL,36116,(334)451-3127,,,http://www.leadacademyal.org,,Public,LEAD Academy
LEAD Academy Building B,2897 Eastern Blvd,Montgomery,AL,36116,(334)451-3127,,,http://www.leadacademyal.org,,Public,LEAD Academy
i3 Academy Phase 1,230 49th Street North,Birmingham,AL,35212,(205)403-5777,,,http://www.i3academy.org,,Public,i3 Academy
i3 Academy Phase 2,7901 1st Avenue North,Birmingham,AL,35206,(205)403-5777,,,http://www.i3academy.org,,Public,i3 Academy
LIFE Academy at Historic St Jude Educational Institute,2080 W Fairview Ave,Montgomery,AL,36108,(334)315-0106,,,http://www.lifeacademyal.com,,Public,LIFE Academy
Breakthrough Charter School,1101 Washington Street,Marion,AL,36756,(559)696-4461,,,http://www.breakthroughcharterschool.org,,Public,Breakthrough Charter School
Auburn High School,1701 E Samford Avenue,Auburn,AL,36830,(334)887-2120,,,http://www.auburnschools.org/ahs/,,Public,Auburn City
Auburn Junior High School,405 S Dean Rd,Auburn,AL,36830,(334)887-4970,,,http://www.auburnschools.org/ajhs/,,Public,Auburn City
Cary Woods Elementary School,715 Sanders St,Auburn,AL,36830,(334)887-4940,,,http://www.auburnschools.org/carywoods/,,Public,Auburn City
Dean Road Elementary School,335 S Dean Rd,Auburn,AL,36830,(334)887-4900,,,http://www.auburnschools.org/dean/,,Public,Auburn City
Drake Middle School,655 N Donahue Dr,Auburn,AL,36832,(334)887-1940,,,http://www.auburnschools.org/drake/,,Public,Auburn City
Wrights Mill Road Elementary School,807 Wrights Mill Rd,Auburn,AL,36830,(334)887-1990,,,http://www.auburnschools.org/wrightsmill/New_web/WMR/index.htm,,Public,Auburn City
Auburn Early Education Center,721 E University Dr,Auburn,AL,36830,(334)887-4950,,,http://www.auburnschools.org/aeec,,Public,Auburn City
Ogletree Elementary School,737 Ogletree Rd,Auburn,AL,36830,(334)887-4920,,,http://www.auburnschools.org/ogletree/,,Public,Auburn City
Margaret Yarbrough Elementary School,1555 N Donahue Dr,Auburn,AL,36830,(334)887-1970,,,http://www.auburnschools.org/yarbrough/index.htm,,Public,Auburn City
Richland Elementary School,770 S Yarbrough Farms Blvd,Auburn,AL,36830,(334)887-1980,,,http://www.auburnschools.org/richland/,,Public,Auburn City
Pick Elementary School,1320 N College St,Auburn,AL,36830,(334)887-2110,,,http://www.auburnschools.org/pes/,,Public,Auburn City
East Samford School,332 E Samford Avenue,Auburn,AL,36830,(334)887-1960,,,http://www.auburnschools.org/ESS,,Public,Auburn City
Creekside Elementary School,1800 Richland Road,Auburn,AL,36832,(334)887-0070,,,http://www.auburnschools.org/ces,,Public,Auburn City
Woodland Pines Elementary School,1565 W Farmville Road,Auburn,AL,36830,(334)887-4960,,,http://www.auburnschools.org,,Public,Auburn City
Magic City Acceptance Academy,75 Bagby Dr,Birmingham,AL,35209,(205)961-3204,,,http://www.magiccityacceptanceacademy.org/,,Public,Magic City Acceptance Academy
Alabama Aerospace and Aviation High School,114 2nd Avenue North,Bessemer,AL,35020,(205)538-0702,,,http://alaahs.org,,Public,Alabama Aerospace and Aviation
Billingsley High School,PO Box 118,Billingsley,AL,36006,(205)755-1629,,,http://2446 County Road 77,,Public,Autauga County
Marbury High School,2360 US Highway 31 N,Deatsville,AL,36022,(334)387-1910,,,http://www.marburyhighschool.org,,Public,Autauga County
Prattville Elementary School,134 Patrick St,Prattville,AL,36067,(334)361-3885,,,http://www.pesbobcats.com,,Public,Autauga County
Prattville High School,1315 Upper Kingston Rd,Prattville,AL,36067,(334)365-8804,,,http://www.gophslions.com,,Public,Autauga County
Prattville Junior High School,1089 Martin Luther King Dr,Prattville,AL,36067,(334)365-6697,,,http://www.pjhscats.com,,Public,Autauga County
Prattville Intermediate School,1020 Honeysuckle Dr,Prattville,AL,36067,(334)361-3880,,,http://www.acboe.net,,Public,Autauga County
Prattville Primary School,216 Wetumpka St,Prattville,AL,36067,(334)365-6277,,,http://www.prattvilleprimary.com,,Public,Autauga County
Pine Level Elementary School,2040 US Highway 31 N,Deatsville,AL,36022,(334)358-2658,,,http://www.pinelevelelem.com,,Public,Autauga County
Daniel Pratt Elementary School,420 Harvest Loop,Prattville,AL,36066,(334)361-6400,,,http://autaugacountyschool.org,,Public,Autauga County
Autauga County Alternative School,816 Cardinal Ln,Prattville,AL,36067,(334)361-3833,,,,,Public,Autauga County
Autauga County Technology Center,1301 Upper Kingston Rd,Prattville,AL,36067,(334)361-0258,,,http://www.autaugatech.com,,Public,Autauga County
Autaugaville School,2708 Dutch Bend St,Autaugaville,AL,36003,(334)365-8329,,,http://AutaugavilleSchool.org,,Public,Autauga County
Louise M Smith Development Center,PO Box 681952,Prattville,AL,36066,(334)365-4054,,,,,Public,Autauga County
Prattville Kindergarten School,338 1st St,Prattville,AL,36067,(334)361-3890,,,http://prattvillekindergarten.com,,Public,Autauga County
Marbury Middle School,210 County Road 20 East,Marbury,AL,36051,(334)365-3522,,,http://marburymiddle.com,,Public,Autauga County
Daphne Middle School,One Jody Davis Cir,Daphne,AL,36526,(251)626-2845,,,http://www.daphnemiddleschool.com,,Public,Baldwin County
Robertsdale High School,21630 Highway 59 South,Robertsdale,AL,36567,(251)947-4154,,,http://www.robertsdalehigh.com,,Public,Baldwin County
W J Carroll Intermediate School,1000 Main St,Daphne,AL,36526,(251)626-0277,,,http://www.wjcintermediate.com,,Public,Baldwin County
Elberta High School,13355 Main St,Elberta,AL,36530,(251)986-8127,,,http://www.elbertahigh.com,,Public,Baldwin County
Elsanor School,23440 US Highway 90,Robertsdale,AL,36567,(251)947-5401,,,http://elsanorschool.com,,Public,Baldwin County
Fairhope Middle School,2 Pirate Dr,Fairhope,AL,36532,(251)928-2573,,,http://www.fairhopems.com,,Public,Baldwin County
Foley Middle School,200 N Oak St,Foley,AL,36535,(251)943-1255,,,http://www.foleymiddle.com,,Public,Baldwin County
Perdido Elementary School,PO Box 28,Perdido,AL,36562,(251)937-8456,,,http://www.perdidoschool.com,,Public,Baldwin County
Rosinton School,19757 County Road 64,Robertsdale,AL,36567,(251)964-5210,,,http://www.rosinton.com,,Public,Baldwin County
Silverhill School,15800 4th Ave,Silverhill,AL,36576,(251)945-5188,,,http://www.silverhillelementary.com,,Public,Baldwin County
Spanish Fort Elementary School,30900 State Highway 225,Spanish Fort,AL,36527,(251)626-9751,,,http://www.spanishfortelementary.com,,Public,Baldwin County
Stapleton School,35480 Harriot Ave,Stapleton,AL,36578,(251)937-2038,,,http://www.stapletonelementary.com,,Public,Baldwin County
Summerdale School,400 E Broadway,Summerdale,AL,36580,(251)989-6850,,,http://www.summerdaleschool.com,,Public,Baldwin County
Swift Elementary School,6330 Bon Secour Hwy,Bon Secour,AL,36511,(251)949-6422,,,http://www.swiftschool.org,,Public,Baldwin County
Fairhope High School,1 Pirate Dr,Fairhope,AL,36532,(251)928-8309,,,http://www.fairhopehs.com,,Public,Baldwin County
Central Baldwin Middle School,PO Box 930,Robertsdale,AL,36576,(251)947-2327,,,http://www.centralbaldwinmiddle.com,,Public,Baldwin County
Rockwell Elementary School,10183 US Highway 31,Spanish Fort,AL,36527,(251)626-5528,,,http://rockwellelem.org,,Public,Baldwin County
Elberta Elementary School,25820 Highway 98,Elberta,AL,36530,(251)986-5888,,,http://www.elbertaelementary.com,,Public,Baldwin County
Magnolia School,1 Jaguar Loop,Foley,AL,36535,(251)965-6200,,,http://www.magnoliaschoolk6.com,,Public,Baldwin County
J Larry Newton School,9761 County Road 32,Fairhope,AL,36532,(251)990-3858,,,http://www.jlnewtonschool.com,,Public,Baldwin County
North Baldwin Center For Technology,505 Dr Martin Luther King Blvd,Bay Minette,AL,36507,(251)937-6751,,,http://www.nbctschool.com,,Public,Baldwin County
South Baldwin Center For Technology,19200 Carolina Street,Robertsdale,AL,36567,(251)947-5041,,,http://www.sbctschool.com,,Public,Baldwin County
Bay Minette Elementary School,800 Blackburn Ave,Bay Minette,AL,36507,(251)937-7651,,,http://www.bayminetteelementary.com,,Public,Baldwin County
Daphne Elementary School,2307 Main St,Daphne,AL,36526,(251)626-2424,,,http://daphneelementary.com,,Public,Baldwin County
Fairhope East Elementary,2 N Bishop Rd,Fairhope,AL,36532,(251)928-7841,,,http://www.fairhopeintermediate.com,,Public,Baldwin County
Fairhope West Elementary,408 N Section Street,Fairhope,AL,36532,(251)928-8400,,,http://www.fairhopeelementary.com,,Public,Baldwin County
Foley Elementary School,450 N Cedar Street,Foley,AL,36535,(251)943-8861,,,http://www.foleyelementary.com,,Public,Baldwin County
Florence B Mathis Elementary,600 9th Ave,Foley,AL,36535,(251)943-1244,,,http://www.foleyintermediate.org,,Public,Baldwin County
Loxley Elementary School,4999 South Magnolia St,Loxley,AL,36551,(251)964-5334,,,http://www.loxleyelementary.com,,Public,Baldwin County
Pine Grove Elementary School,43980 Pine Grove Rd,Bay Minette,AL,36507,(251)937-0453,,,http://www.pgelementary.com,,Public,Baldwin County
Robertsdale Elementary School,1 Cub Drive,Robertsdale,AL,36567,(251)947-4003,,,http://www.robertsdaleelementary.com,,Public,Baldwin County
Daphne High School,9300 Champions Way,Daphne,AL,36526,(251)626-8787,,,http://www.daphnehs.com,,Public,Baldwin County
Delta Elementary School,10251 White House Fork Rd,Bay Minette,AL,36507,(251)937-3657,,,http://www.delataelementary.com,,Public,Baldwin County
